# Generated by gen_wbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# W;<lo>;<hi>;<class>   Word_Break (non-Other only)
W;0B83;0B83;ALETTER
W;0B85;0B8A;ALETTER
W;0B8E;0B90;ALETTER
W;0B92;0B95;ALETTER
W;0B99;0B9A;ALETTER
W;0B9C;0B9C;ALETTER
W;0B9E;0B9F;ALETTER
W;0BA3;0BA4;ALETTER
W;0BA8;0BAA;ALETTER
W;0BAE;0BB9;ALETTER
W;0BBE;0BC2;EXTEND
W;0BC6;0BC8;EXTEND
W;0BCA;0BCD;EXTEND
W;0BD0;0BD0;ALETTER
W;0BD7;0BD7;EXTEND
W;0BE6;0BEF;NUMERIC
W;0C00;0C04;EXTEND
W;0C05;0C0C;ALETTER
W;0C0E;0C10;ALETTER
W;0C12;0C28;ALETTER
W;0C2A;0C39;ALETTER
W;0C3C;0C3C;EXTEND
W;0C3D;0C3D;ALETTER
W;0C3E;0C44;EXTEND
W;0C46;0C48;EXTEND
W;0C4A;0C4D;EXTEND
W;0C55;0C56;EXTEND
W;0C58;0C5A;ALETTER
W;0C5D;0C5D;ALETTER
W;0C60;0C61;ALETTER
W;0C62;0C63;EXTEND
W;0C66;0C6F;NUMERIC
W;0C80;0C80;ALETTER
W;0C81;0C83;EXTEND
W;0C85;0C8C;ALETTER
W;0C8E;0C90;ALETTER
W;0C92;0CA8;ALETTER
W;0CAA;0CB3;ALETTER
W;0CB5;0CB9;ALETTER
W;0CBC;0CBC;EXTEND
W;0CBD;0CBD;ALETTER
W;0CBE;0CC4;EXTEND
W;0CC6;0CC8;EXTEND
W;0CCA;0CCD;EXTEND
W;0CD5;0CD6;EXTEND
W;0CDD;0CDE;ALETTER
W;0CE0;0CE1;ALETTER
W;0CE2;0CE3;EXTEND
W;0CE6;0CEF;NUMERIC
W;0CF1;0CF2;ALETTER
W;0CF3;0CF3;EXTEND
W;0D00;0D03;EXTEND
W;0D04;0D0C;ALETTER
W;0D0E;0D10;ALETTER
W;0D12;0D3A;ALETTER
W;0D3B;0D3C;EXTEND
W;0D3D;0D3D;ALETTER
W;0D3E;0D44;EXTEND
W;0D46;0D48;EXTEND
W;0D4A;0D4D;EXTEND
W;0D4E;0D4E;ALETTER
W;0D54;0D56;ALETTER
W;0D57;0D57;EXTEND
W;0D5F;0D61;ALETTER
W;0D62;0D63;EXTEND
W;0D66;0D6F;NUMERIC
W;0D7A;0D7F;ALETTER
W;0D81;0D83;EXTEND
W;0D85;0D96;ALETTER
W;0D9A;0DB1;ALETTER
W;0DB3;0DBB;ALETTER
W;0DBD;0DBD;ALETTER
W;0DC0;0DC6;ALETTER
W;0DCA;0DCA;EXTEND
W;0DCF;0DD4;EXTEND
W;0DD6;0DD6;EXTEND
W;0DD8;0DDF;EXTEND
W;0DE6;0DEF;NUMERIC
W;0DF2;0DF3;EXTEND
W;0E31;0E31;EXTEND
W;0E34;0E3A;EXTEND
W;0E47;0E4E;EXTEND
W;0E50;0E59;NUMERIC
W;0EB1;0EB1;EXTEND
W;0EB4;0EBC;EXTEND
W;0EC8;0ECE;EXTEND
W;0ED0;0ED9;NUMERIC
W;0F00;0F00;ALETTER
W;0F18;0F19;EXTEND
W;0F20;0F29;NUMERIC
W;0F35;0F35;EXTEND
W;0F37;0F37;EXTEND
W;0F39;0F39;EXTEND
W;0F3E;0F3F;EXTEND
W;0F40;0F47;ALETTER
W;0F49;0F6C;ALETTER
W;0F71;0F84;EXTEND
W;0F86;0F87;EXTEND
W;0F88;0F8C;ALETTER
W;0F8D;0F97;EXTEND
W;0F99;0FBC;EXTEND
W;0FC6;0FC6;EXTEND
W;102B;103E;EXTEND
W;1040;1049;NUMERIC
W;1056;1059;EXTEND
W;105E;1060;EXTEND
W;1062;1064;EXTEND
W;1067;106D;EXTEND
W;1071;1074;EXTEND
W;1082;108D;EXTEND
W;108F;108F;EXTEND
W;1090;1099;NUMERIC
W;109A;109D;EXTEND
W;10A0;10C5;ALETTER
W;10C7;10C7;ALETTER
W;10CD;10CD;ALETTER
W;10D0;10FA;ALETTER
W;10FC;1248;ALETTER
W;124A;124D;ALETTER
W;1250;1256;ALETTER
W;1258;1258;ALETTER
W;125A;125D;ALETTER
W;1260;1288;ALETTER
W;128A;128D;ALETTER
W;1290;12B0;ALETTER
W;12B2;12B5;ALETTER
W;12B8;12BE;ALETTER
W;12C0;12C0;ALETTER
W;12C2;12C5;ALETTER
W;12C8;12D6;ALETTER
W;12D8;1310;ALETTER
W;1312;1315;ALETTER
W;1318;135A;ALETTER
W;135D;135F;EXTEND
W;1380;138F;ALETTER
W;13A0;13F5;ALETTER
W;13F8;13FD;ALETTER
W;1401;166C;ALETTER
W;166F;167F;ALETTER
W;1680;1680;WSEGSPACE
W;1681;169A;ALETTER
W;16A0;16EA;ALETTER
W;16EE;16F8;ALETTER
W;1700;1711;ALETTER
W;1712;1715;EXTEND
W;171F;1731;ALETTER
W;1732;1734;EXTEND
W;1740;1751;ALETTER
W;1752;1753;EXTEND
W;1760;176C;ALETTER
W;176E;1770;ALETTER
W;1772;1773;EXTEND
W;17B4;17D3;EXTEND
W;17DD;17DD;EXTEND
W;17E0;17E9;NUMERIC
W;180B;180D;EXTEND
W;180E;180E;FORMAT
W;180F;180F;EXTEND
W;1810;1819;NUMERIC
W;1820;1878;ALETTER
W;1880;1884;ALETTER
W;1885;1886;EXTEND
W;1887;18A8;ALETTER
W;18A9;18A9;EXTEND
W;18AA;18AA;ALETTER
W;18B0;18F5;ALETTER
W;1900;191E;ALETTER
W;1920;192B;EXTEND
W;1930;193B;EXTEND
W;1946;194F;NUMERIC
W;19D0;19DA;NUMERIC
W;1A00;1A16;ALETTER
W;1A17;1A1B;EXTEND
W;1A55;1A5E;EXTEND
W;1A60;1A7C;EXTEND
W;1A7F;1A7F;EXTEND
W;1A80;1A89;NUMERIC
W;1A90;1A99;NUMERIC
W;1AB0;1ACE;EXTEND
W;1B00;1B04;EXTEND
W;1B05;1B33;ALETTER
W;1B34;1B44;EXTEND
W;1B45;1B4C;ALETTER
W;1B50;1B59;NUMERIC
W;1B6B;1B73;EXTEND
W;1B80;1B82;EXTEND
W;1B83;1BA0;ALETTER
W;1BA1;1BAD;EXTEND
W;1BAE;1BAF;ALETTER
W;1BB0;1BB9;NUMERIC
W;1BBA;1BE5;ALETTER
W;1BE6;1BF3;EXTEND
W;1C00;1C23;ALETTER
W;1C24;1C37;EXTEND
W;1C40;1C49;NUMERIC
W;1C4D;1C4F;ALETTER
W;1C50;1C59;NUMERIC
W;1C5A;1C7D;ALETTER
W;1C80;1C8A;ALETTER
W;1C90;1CBA;ALETTER
W;1CBD;1CBF;ALETTER
W;1CD0;1CD2;EXTEND
W;1CD4;1CE8;EXTEND
W;1CE9;1CEC;ALETTER
W;1CED;1CED;EXTEND
W;1CEE;1CF3;ALETTER
W;1CF4;1CF4;EXTEND
W;1CF5;1CF6;ALETTER
W;1CF7;1CF9;EXTEND
W;1CFA;1CFA;ALETTER
W;1D00;1DBF;ALETTER
W;1DC0;1DFF;EXTEND
W;1E00;1F15;ALETTER
W;1F18;1F1D;ALETTER
W;1F20;1F45;ALETTER
W;1F48;1F4D;ALETTER
W;1F50;1F57;ALETTER
W;1F59;1F59;ALETTER
W;1F5B;1F5B;ALETTER
W;1F5D;1F5D;ALETTER
W;1F5F;1F7D;ALETTER
W;1F80;1FB4;ALETTER
W;1FB6;1FBC;ALETTER
W;1FBE;1FBE;ALETTER
W;1FC2;1FC4;ALETTER
W;1FC6;1FCC;ALETTER
W;1FD0;1FD3;ALETTER
W;1FD6;1FDB;ALETTER
W;1FE0;1FEC;ALETTER
W;1FF2;1FF4;ALETTER
W;1FF6;1FFC;ALETTER
W;2000;2006;WSEGSPACE
W;2008;200A;WSEGSPACE
W;200C;200C;EXTEND
W;200D;200D;ZWJ
W;200E;200F;FORMAT
W;2018;2019;MIDNUMLET
W;2024;2024;MIDNUMLET
W;2027;2027;MIDLETTER
W;2028;2029;NEWLINE
W;202A;202E;FORMAT
W;202F;202F;EXTENDNUMLET
W;203F;2040;EXTENDNUMLET
W;2044;2044;MIDNUM
W;2054;2054;EXTENDNUMLET
W;205F;205F;WSEGSPACE
W;2060;2064;FORMAT
W;2066;206F;FORMAT
W;2071;2071;ALETTER
W;207F;207F;ALETTER
W;2090;209C;ALETTER
W;20D0;20F0;EXTEND
W;2102;2102;ALETTER
W;2107;2107;ALETTER
W;210A;2113;ALETTER
W;2115;2115;ALETTER
W;2119;211D;ALETTER
W;2124;2124;ALETTER
W;2126;2126;ALETTER
W;2128;2128;ALETTER
W;212A;212D;ALETTER
W;212F;2139;ALETTER
W;213C;213F;ALETTER
W;2145;2149;ALETTER
W;214E;214E;ALETTER
W;2160;2188;ALETTER
W;24B6;24E9;ALETTER
W;2C00;2CE4;ALETTER
W;2CEB;2CEE;ALETTER
W;2CEF;2CF1;EXTEND
W;2CF2;2CF3;ALETTER
W;2D00;2D25;ALETTER
W;2D27;2D27;ALETTER
W;2D2D;2D2D;ALETTER
W;2D30;2D67;ALETTER
W;2D6F;2D6F;ALETTER
W;2D7F;2D7F;EXTEND
W;2D80;2D96;ALETTER
W;2DA0;2DA6;ALETTER
W;2DA8;2DAE;ALETTER
W;2DB0;2DB6;ALETTER
W;2DB8;2DBE;ALETTER
W;2DC0;2DC6;ALETTER
W;2DC8;2DCE;ALETTER
W;2DD0;2DD6;ALETTER
W;2DD8;2DDE;ALETTER
