# Generated by gen_wbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# W;<lo>;<hi>;<class>   Word_Break (non-Other only)
W;11941;11941;ALETTER
W;11942;11943;EXTEND
W;11950;11959;NUMERIC
W;119A0;119A7;ALETTER
W;119AA;119D0;ALETTER
W;119D1;119D7;EXTEND
W;119DA;119E0;EXTEND
W;119E1;119E1;ALETTER
W;119E3;119E3;ALETTER
W;119E4;119E4;EXTEND
W;11A00;11A00;ALETTER
W;11A01;11A0A;EXTEND
W;11A0B;11A32;ALETTER
W;11A33;11A39;EXTEND
W;11A3A;11A3A;ALETTER
W;11A3B;11A3E;EXTEND
W;11A47;11A47;EXTEND
W;11A50;11A50;ALETTER
W;11A51;11A5B;EXTEND
W;11A5C;11A89;ALETTER
W;11A8A;11A99;EXTEND
W;11A9D;11A9D;ALETTER
W;11AB0;11AF8;ALETTER
W;11BC0;11BE0;ALETTER
W;11BF0;11BF9;NUMERIC
W;11C00;11C08;ALETTER
W;11C0A;11C2E;ALETTER
W;11C2F;11C36;EXTEND
W;11C38;11C3F;EXTEND
W;11C40;11C40;ALETTER
W;11C50;11C59;NUMERIC
W;11C72;11C8F;ALETTER
W;11C92;11CA7;EXTEND
W;11CA9;11CB6;EXTEND
W;11D00;11D06;ALETTER
W;11D08;11D09;ALETTER
W;11D0B;11D30;ALETTER
W;11D31;11D36;EXTEND
W;11D3A;11D3A;EXTEND
W;11D3C;11D3D;EXTEND
W;11D3F;11D45;EXTEND
W;11D46;11D46;ALETTER
W;11D47;11D47;EXTEND
W;11D50;11D59;NUMERIC
W;11D60;11D65;ALETTER
W;11D67;11D68;ALETTER
W;11D6A;11D89;ALETTER
W;11D8A;11D8E;EXTEND
W;11D90;11D91;EXTEND
W;11D93;11D97;EXTEND
W;11D98;11D98;ALETTER
W;11DA0;11DA9;NUMERIC
W;11EE0;11EF2;ALETTER
W;11EF3;11EF6;EXTEND
W;11F00;11F01;EXTEND
W;11F02;11F02;ALETTER
W;11F03;11F03;EXTEND
W;11F04;11F10;ALETTER
W;11F12;11F33;ALETTER
W;11F34;11F3A;EXTEND
W;11F3E;11F42;EXTEND
W;11F50;11F59;NUMERIC
W;11F5A;11F5A;EXTEND
W;11FB0;11FB0;ALETTER
W;12000;12399;ALETTER
W;12400;1246E;ALETTER
W;12480;12543;ALETTER
W;12F90;12FF0;ALETTER
W;13000;1342F;ALETTER
W;13430;1343F;FORMAT
W;13440;13440;EXTEND
W;13441;13446;ALETTER
W;13447;13455;EXTEND
W;13460;143FA;ALETTER
W;14400;14646;ALETTER
W;16100;1611D;ALETTER
W;1611E;1612F;EXTEND
W;16130;16139;NUMERIC
W;16800;16A38;ALETTER
W;16A40;16A5E;ALETTER
W;16A60;16A69;NUMERIC
W;16A70;16ABE;ALETTER
W;16AC0;16AC9;NUMERIC
W;16AD0;16AED;ALETTER
W;16AF0;16AF4;EXTEND
W;16B00;16B2F;ALETTER
W;16B30;16B36;EXTEND
W;16B40;16B43;ALETTER
W;16B50;16B59;NUMERIC
W;16B63;16B77;ALETTER
W;16B7D;16B8F;ALETTER
W;16D40;16D6C;ALETTER
W;16D70;16D79;NUMERIC
W;16E40;16E7F;ALETTER
W;16F00;16F4A;ALETTER
W;16F4F;16F4F;EXTEND
W;16F50;16F50;ALETTER
W;16F51;16F87;EXTEND
W;16F8F;16F92;EXTEND
W;16F93;16F9F;ALETTER
W;16FE0;16FE1;ALETTER
W;16FE3;16FE3;ALETTER
W;16FE4;16FE4;EXTEND
W;16FF0;16FF1;EXTEND
W;1AFF0;1AFF3;KATAKANA
W;1AFF5;1AFFB;KATAKANA
W;1AFFD;1AFFE;KATAKANA
W;1B000;1B000;KATAKANA
W;1B120;1B122;KATAKANA
W;1B155;1B155;KATAKANA
W;1B164;1B167;KATAKANA
W;1BC00;1BC6A;ALETTER
W;1BC70;1BC7C;ALETTER
W;1BC80;1BC88;ALETTER
W;1BC90;1BC99;ALETTER
W;1BC9D;1BC9E;EXTEND
W;1BCA0;1BCA3;FORMAT
W;1CCF0;1CCF9;NUMERIC
W;1CF00;1CF2D;EXTEND
W;1CF30;1CF46;EXTEND
W;1D165;1D169;EXTEND
W;1D16D;1D172;EXTEND
W;1D173;1D17A;FORMAT
W;1D17B;1D182;EXTEND
W;1D185;1D18B;EXTEND
W;1D1AA;1D1AD;EXTEND
W;1D242;1D244;EXTEND
W;1D400;1D454;ALETTER
W;1D456;1D49C;ALETTER
W;1D49E;1D49F;ALETTER
W;1D4A2;1D4A2;ALETTER
W;1D4A5;1D4A6;ALETTER
W;1D4A9;1D4AC;ALETTER
W;1D4AE;1D4B9;ALETTER
W;1D4BB;1D4BB;ALETTER
W;1D4BD;1D4C3;ALETTER
W;1D4C5;1D505;ALETTER
W;1D507;1D50A;ALETTER
W;1D50D;1D514;ALETTER
W;1D516;1D51C;ALETTER
W;1D51E;1D539;ALETTER
W;1D53B;1D53E;ALETTER
W;1D540;1D544;ALETTER
W;1D546;1D546;ALETTER
W;1D54A;1D550;ALETTER
W;1D552;1D6A5;ALETTER
W;1D6A8;1D6C0;ALETTER
W;1D6C2;1D6DA;ALETTER
W;1D6DC;1D6FA;ALETTER
W;1D6FC;1D714;ALETTER
W;1D716;1D734;ALETTER
W;1D736;1D74E;ALETTER
W;1D750;1D76E;ALETTER
W;1D770;1D788;ALETTER
W;1D78A;1D7A8;ALETTER
W;1D7AA;1D7C2;ALETTER
W;1D7C4;1D7CB;ALETTER
W;1D7CE;1D7FF;NUMERIC
W;1DA00;1DA36;EXTEND
W;1DA3B;1DA6C;EXTEND
W;1DA75;1DA75;EXTEND
W;1DA84;1DA84;EXTEND
W;1DA9B;1DA9F;EXTEND
W;1DAA1;1DAAF;EXTEND
W;1DF00;1DF1E;ALETTER
W;1DF25;1DF2A;ALETTER
W;1E000;1E006;EXTEND
W;1E008;1E018;EXTEND
W;1E01B;1E021;EXTEND
W;1E023;1E024;EXTEND
W;1E026;1E02A;EXTEND
W;1E030;1E06D;ALETTER
W;1E08F;1E08F;EXTEND
W;1E100;1E12C;ALETTER
W;1E130;1E136;EXTEND
W;1E137;1E13D;ALETTER
W;1E140;1E149;NUMERIC
W;1E14E;1E14E;ALETTER
W;1E290;1E2AD;ALETTER
W;1E2AE;1E2AE;EXTEND
W;1E2C0;1E2EB;ALETTER
W;1E2EC;1E2EF;EXTEND
W;1E2F0;1E2F9;NUMERIC
W;1E4D0;1E4EB;ALETTER
W;1E4EC;1E4EF;EXTEND
W;1E4F0;1E4F9;NUMERIC
W;1E5D0;1E5ED;ALETTER
W;1E5EE;1E5EF;EXTEND
W;1E5F0;1E5F0;ALETTER
W;1E5F1;1E5FA;NUMERIC
W;1E7E0;1E7E6;ALETTER
W;1E7E8;1E7EB;ALETTER
W;1E7ED;1E7EE;ALETTER
W;1E7F0;1E7FE;ALETTER
W;1E800;1E8C4;ALETTER
W;1E8D0;1E8D6;EXTEND
W;1E900;1E943;ALETTER
W;1E944;1E94A;EXTEND
W;1E94B;1E94B;ALETTER
W;1E950;1E959;NUMERIC
W;1EE00;1EE03;ALETTER
W;1EE05;1EE1F;ALETTER
W;1EE21;1EE22;ALETTER
W;1EE24;1EE24;ALETTER
W;1EE27;1EE27;ALETTER
W;1EE29;1EE32;ALETTER
W;1EE34;1EE37;ALETTER
W;1EE39;1EE39;ALETTER
W;1EE3B;1EE3B;ALETTER
W;1EE42;1EE42;ALETTER
W;1EE47;1EE47;ALETTER
W;1EE49;1EE49;ALETTER
W;1EE4B;1EE4B;ALETTER
W;1EE4D;1EE4F;ALETTER
W;1EE51;1EE52;ALETTER
W;1EE54;1EE54;ALETTER
W;1EE57;1EE57;ALETTER
W;1EE59;1EE59;ALETTER
W;1EE5B;1EE5B;ALETTER
W;1EE5D;1EE5D;ALETTER
W;1EE5F;1EE5F;ALETTER
W;1EE61;1EE62;ALETTER
W;1EE64;1EE64;ALETTER
W;1EE67;1EE6A;ALETTER
W;1EE6C;1EE72;ALETTER
W;1EE74;1EE77;ALETTER
W;1EE79;1EE7C;ALETTER
W;1EE7E;1EE7E;ALETTER
W;1EE80;1EE89;ALETTER
W;1EE8B;1EE9B;ALETTER
W;1EEA1;1EEA3;ALETTER
W;1EEA5;1EEA9;ALETTER
W;1EEAB;1EEBB;ALETTER
W;1F130;1F149;ALETTER
W;1F150;1F169;ALETTER
W;1F170;1F189;ALETTER
W;1F1E6;1F1FF;REGIONAL_INDICATOR
W;1F3FB;1F3FF;EXTEND
W;1FBF0;1FBF9;NUMERIC
W;E0001;E0001;FORMAT
W;E0020;E007F;EXTEND
W;E0100;E01EF;EXTEND
