# Generated by gen_gcbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# G;<lo>;<hi>;<class>   Grapheme_Cluster_Break (non-Other only)
# E;<lo>;<hi>           Extended_Pictographic
G;CB9D;CBB7;LVT
G;CBB8;CBB8;LV
G;CBB9;CBD3;LVT
G;CBD4;CBD4;LV
G;CBD5;CBEF;LVT
G;CBF0;CBF0;LV
G;CBF1;CC0B;LVT
G;CC0C;CC0C;LV
G;CC0D;CC27;LVT
G;CC28;CC28;LV
G;CC29;CC43;LVT
G;CC44;CC44;LV
G;CC45;CC5F;LVT
G;CC60;CC60;LV
G;CC61;CC7B;LVT
G;CC7C;CC7C;LV
G;CC7D;CC97;LVT
G;CC98;CC98;LV
G;CC99;CCB3;LVT
G;CCB4;CCB4;LV
G;CCB5;CCCF;LVT
G;CCD0;CCD0;LV
G;CCD1;CCEB;LVT
G;CCEC;CCEC;LV
G;CCED;CD07;LVT
G;CD08;CD08;LV
G;CD09;CD23;LVT
G;CD24;CD24;LV
G;CD25;CD3F;LVT
G;CD40;CD40;LV
G;CD41;CD5B;LVT
G;CD5C;CD5C;LV
G;CD5D;CD77;LVT
G;CD78;CD78;LV
G;CD79;CD93;LVT
G;CD94;CD94;LV
G;CD95;CDAF;LVT
G;CDB0;CDB0;LV
G;CDB1;CDCB;LVT
G;CDCC;CDCC;LV
G;CDCD;CDE7;LVT
G;CDE8;CDE8;LV
G;CDE9;CE03;LVT
G;CE04;CE04;LV
G;CE05;CE1F;LVT
G;CE20;CE20;LV
G;CE21;CE3B;LVT
G;CE3C;CE3C;LV
G;CE3D;CE57;LVT
G;CE58;CE58;LV
G;CE59;CE73;LVT
G;CE74;CE74;LV
G;CE75;CE8F;LVT
G;CE90;CE90;LV
G;CE91;CEAB;LVT
G;CEAC;CEAC;LV
G;CEAD;CEC7;LVT
G;CEC8;CEC8;LV
G;CEC9;CEE3;LVT
G;CEE4;CEE4;LV
G;CEE5;CEFF;LVT
G;CF00;CF00;LV
G;CF01;CF1B;LVT
G;CF1C;CF1C;LV
G;CF1D;CF37;LVT
G;CF38;CF38;LV
G;CF39;CF53;LVT
G;CF54;CF54;LV
G;CF55;CF6F;LVT
G;CF70;CF70;LV
G;CF71;CF8B;LVT
G;CF8C;CF8C;LV
G;CF8D;CFA7;LVT
G;CFA8;CFA8;LV
G;CFA9;CFC3;LVT
G;CFC4;CFC4;LV
G;CFC5;CFDF;LVT
G;CFE0;CFE0;LV
G;CFE1;CFFB;LVT
G;CFFC;CFFC;LV
G;CFFD;D017;LVT
G;D018;D018;LV
G;D019;D033;LVT
G;D034;D034;LV
G;D035;D04F;LVT
G;D050;D050;LV
G;D051;D06B;LVT
G;D06C;D06C;LV
G;D06D;D087;LVT
G;D088;D088;LV
G;D089;D0A3;LVT
G;D0A4;D0A4;LV
G;D0A5;D0BF;LVT
G;D0C0;D0C0;LV
G;D0C1;D0DB;LVT
G;D0DC;D0DC;LV
G;D0DD;D0F7;LVT
G;D0F8;D0F8;LV
G;D0F9;D113;LVT
G;D114;D114;LV
G;D115;D12F;LVT
G;D130;D130;LV
G;D131;D14B;LVT
G;D14C;D14C;LV
G;D14D;D167;LVT
G;D168;D168;LV
G;D169;D183;LVT
G;D184;D184;LV
G;D185;D19F;LVT
G;D1A0;D1A0;LV
G;D1A1;D1BB;LVT
G;D1BC;D1BC;LV
G;D1BD;D1D7;LVT
G;D1D8;D1D8;LV
G;D1D9;D1F3;LVT
G;D1F4;D1F4;LV
G;D1F5;D20F;LVT
G;D210;D210;LV
G;D211;D22B;LVT
G;D22C;D22C;LV
G;D22D;D247;LVT
G;D248;D248;LV
G;D249;D263;LVT
G;D264;D264;LV
G;D265;D27F;LVT
G;D280;D280;LV
G;D281;D29B;LVT
G;D29C;D29C;LV
G;D29D;D2B7;LVT
G;D2B8;D2B8;LV
G;D2B9;D2D3;LVT
G;D2D4;D2D4;LV
G;D2D5;D2EF;LVT
G;D2F0;D2F0;LV
G;D2F1;D30B;LVT
G;D30C;D30C;LV
G;D30D;D327;LVT
G;D328;D328;LV
G;D329;D343;LVT
G;D344;D344;LV
G;D345;D35F;LVT
G;D360;D360;LV
G;D361;D37B;LVT
G;D37C;D37C;LV
G;D37D;D397;LVT
G;D398;D398;LV
G;D399;D3B3;LVT
G;D3B4;D3B4;LV
G;D3B5;D3CF;LVT
G;D3D0;D3D0;LV
G;D3D1;D3EB;LVT
G;D3EC;D3EC;LV
G;D3ED;D407;LVT
G;D408;D408;LV
G;D409;D423;LVT
G;D424;D424;LV
G;D425;D43F;LVT
G;D440;D440;LV
G;D441;D45B;LVT
G;D45C;D45C;LV
G;D45D;D477;LVT
G;D478;D478;LV
G;D479;D493;LVT
G;D494;D494;LV
G;D495;D4AF;LVT
G;D4B0;D4B0;LV
G;D4B1;D4CB;LVT
G;D4CC;D4CC;LV
G;D4CD;D4E7;LVT
G;D4E8;D4E8;LV
G;D4E9;D503;LVT
G;D504;D504;LV
G;D505;D51F;LVT
G;D520;D520;LV
G;D521;D53B;LVT
G;D53C;D53C;LV
G;D53D;D557;LVT
G;D558;D558;LV
G;D559;D573;LVT
G;D574;D574;LV
G;D575;D58F;LVT
G;D590;D590;LV
G;D591;D5AB;LVT
G;D5AC;D5AC;LV
G;D5AD;D5C7;LVT
G;D5C8;D5C8;LV
G;D5C9;D5E3;LVT
G;D5E4;D5E4;LV
G;D5E5;D5FF;LVT
G;D600;D600;LV
G;D601;D61B;LVT
G;D61C;D61C;LV
G;D61D;D637;LVT
G;D638;D638;LV
G;D639;D653;LVT
G;D654;D654;LV
G;D655;D66F;LVT
G;D670;D670;LV
G;D671;D68B;LVT
G;D68C;D68C;LV
G;D68D;D6A7;LVT
G;D6A8;D6A8;LV
G;D6A9;D6C3;LVT
G;D6C4;D6C4;LV
G;D6C5;D6DF;LVT
G;D6E0;D6E0;LV
G;D6E1;D6FB;LVT
G;D6FC;D6FC;LV
G;D6FD;D717;LVT
G;D718;D718;LV
G;D719;D733;LVT
G;D734;D734;LV
G;D735;D74F;LVT
G;D750;D750;LV
G;D751;D76B;LVT
G;D76C;D76C;LV
G;D76D;D787;LVT
G;D788;D788;LV
G;D789;D7A3;LVT
G;D7B0;D7C6;V
G;D7CB;D7FB;T
G;FB1E;FB1E;EXTEND
G;FE00;FE0F;EXTEND
G;FE20;FE2F;EXTEND
G;FEFF;FEFF;CONTROL
G;FF9E;FF9F;EXTEND
G;FFF0;FFFB;CONTROL
G;101FD;101FD;EXTEND
G;102E0;102E0;EXTEND
G;10376;1037A;EXTEND
G;10A01;10A03;EXTEND
G;10A05;10A06;EXTEND
G;10A0C;10A0F;EXTEND
G;10A38;10A3A;EXTEND
G;10A3F;10A3F;EXTEND
G;10AE5;10AE6;EXTEND
G;10D24;10D27;EXTEND
G;10D69;10D6D;EXTEND
G;10EAB;10EAC;EXTEND
G;10EFC;10EFF;EXTEND
G;10F46;10F50;EXTEND
G;10F82;10F85;EXTEND
G;11000;11000;PACINGMARK
G;11001;11001;EXTEND
G;11002;11002;PACINGMARK
G;11038;11046;EXTEND
G;11070;11070;EXTEND
G;11073;11074;EXTEND
G;1107F;11081;EXTEND
G;11082;11082;PACINGMARK
G;110B0;110B2;PACINGMARK
G;110B3;110B6;EXTEND
G;110B7;110B8;PACINGMARK
G;110B9;110BA;EXTEND
G;110BD;110BD;PREPEND
G;110C2;110C2;EXTEND
G;110CD;110CD;PREPEND
G;11100;11102;EXTEND
G;11127;1112B;EXTEND
G;1112C;1112C;PACINGMARK
G;1112D;11134;EXTEND
G;11145;11146;PACINGMARK
G;11173;11173;EXTEND
G;11180;11181;EXTEND
G;11182;11182;PACINGMARK
G;111B3;111B5;PACINGMARK
G;111B6;111BE;EXTEND
G;111BF;111BF;PACINGMARK
G;111C0;111C0;EXTEND
G;111C2;111C3;PREPEND
G;111C9;111CC;EXTEND
G;111CE;111CE;PACINGMARK
G;111CF;111CF;EXTEND
G;1122C;1122E;PACINGMARK
G;1122F;11231;EXTEND
G;11232;11233;PACINGMARK
G;11234;11237;EXTEND
G;1123E;1123E;EXTEND
G;11241;11241;EXTEND
G;112DF;112DF;EXTEND
G;112E0;112E2;PACINGMARK
G;112E3;112EA;EXTEND
G;11300;11301;EXTEND
G;11302;11303;PACINGMARK
G;1133B;1133C;EXTEND
G;1133E;1133E;EXTEND
G;1133F;1133F;PACINGMARK
G;11340;11340;EXTEND
G;11341;11344;PACINGMARK
G;11347;11348;PACINGMARK
G;1134B;1134C;PACINGMARK
G;1134D;1134D;EXTEND
G;11357;11357;EXTEND
G;11362;11363;PACINGMARK
G;11366;1136C;EXTEND
G;11370;11374;EXTEND
G;113B8;113B8;EXTEND
G;113B9;113BA;PACINGMARK
G;113BB;113C0;EXTEND
G;113C2;113C2;EXTEND
G;113C5;113C5;EXTEND
G;113C7;113C9;EXTEND
G;113CA;113CA;PACINGMARK
G;113CC;113CD;PACINGMARK
G;113CE;113D0;EXTEND
G;113D1;113D1;PREPEND
G;113D2;113D2;EXTEND
G;113E1;113E2;EXTEND
G;11435;11437;PACINGMARK
G;11438;1143F;EXTEND
G;11440;11441;PACINGMARK
G;11442;11444;EXTEND
G;11445;11445;PACINGMARK
G;11446;11446;EXTEND
G;1145E;1145E;EXTEND
G;114B0;114B0;EXTEND
G;114B1;114B2;PACINGMARK
G;114B3;114B8;EXTEND
G;114B9;114B9;PACINGMARK
G;114BA;114BA;EXTEND
G;114BB;114BC;PACINGMARK
G;114BD;114BD;EXTEND
G;114BE;114BE;PACINGMARK
G;114BF;114C0;EXTEND
G;114C1;114C1;PACINGMARK
G;114C2;114C3;EXTEND
G;115AF;115AF;EXTEND
G;115B0;115B1;PACINGMARK
G;115B2;115B5;EXTEND
G;115B8;115BB;PACINGMARK
G;115BC;115BD;EXTEND
G;115BE;115BE;PACINGMARK
G;115BF;115C0;EXTEND
G;115DC;115DD;EXTEND
G;11630;11632;PACINGMARK
G;11633;1163A;EXTEND
G;1163B;1163C;PACINGMARK
G;1163D;1163D;EXTEND
G;1163E;1163E;PACINGMARK
G;1163F;11640;EXTEND
G;116AB;116AB;EXTEND
G;116AC;116AC;PACINGMARK
G;116AD;116AD;EXTEND
G;116AE;116AF;PACINGMARK
G;116B0;116B7;EXTEND
G;1171D;1171D;EXTEND
G;1171E;1171E;PACINGMARK
G;1171F;1171F;EXTEND
G;11722;11725;EXTEND
G;11726;11726;PACINGMARK
G;11727;1172B;EXTEND
G;1182C;1182E;PACINGMARK
G;1182F;11837;EXTEND
G;11838;11838;PACINGMARK
G;11839;1183A;EXTEND
G;11930;11930;EXTEND
G;11931;11935;PACINGMARK
G;11937;11938;PACINGMARK
G;1193B;1193E;EXTEND
G;1193F;1193F;PREPEND
G;11940;11940;PACINGMARK
G;11941;11941;PREPEND
G;11942;11942;PACINGMARK
G;11943;11943;EXTEND
G;119D1;119D3;PACINGMARK
G;119D4;119D7;EXTEND
G;119DA;119DB;EXTEND
G;119DC;119DF;PACINGMARK
G;119E0;119E0;EXTEND
G;119E4;119E4;PACINGMARK
G;11A01;11A0A;EXTEND
G;11A33;11A38;EXTEND
G;11A39;11A39;PACINGMARK
G;11A3A;11A3A;PREPEND
G;11A3B;11A3E;EXTEND
G;11A47;11A47;EXTEND
G;11A51;11A56;EXTEND
G;11A57;11A58;PACINGMARK
G;11A59;11A5B;EXTEND
G;11A84;11A89;PREPEND
G;11A8A;11A96;EXTEND
G;11A97;11A97;PACINGMARK
G;11A98;11A99;EXTEND
G;11C2F;11C2F;PACINGMARK
G;11C30;11C36;EXTEND
G;11C38;11C3D;EXTEND
G;11C3E;11C3E;PACINGMARK
G;11C3F;11C3F;EXTEND
G;11C92;11CA7;EXTEND
G;11CA9;11CA9;PACINGMARK
G;11CAA;11CB0;EXTEND
G;11CB1;11CB1;PACINGMARK
G;11CB2;11CB3;EXTEND
G;11CB4;11CB4;PACINGMARK
G;11CB5;11CB6;EXTEND
G;11D31;11D36;EXTEND
G;11D3A;11D3A;EXTEND
G;11D3C;11D3D;EXTEND
G;11D3F;11D45;EXTEND
G;11D46;11D46;PREPEND
G;11D47;11D47;EXTEND
G;11D8A;11D8E;PACINGMARK
G;11D90;11D91;EXTEND
G;11D93;11D94;PACINGMARK
G;11D95;11D95;EXTEND
G;11D96;11D96;PACINGMARK
G;11D97;11D97;EXTEND
G;11EF3;11EF4;EXTEND
G;11EF5;11EF6;PACINGMARK
G;11F00;11F01;EXTEND
G;11F02;11F02;PREPEND
G;11F03;11F03;PACINGMARK
G;11F34;11F35;PACINGMARK
G;11F36;11F3A;EXTEND
G;11F3E;11F3F;PACINGMARK
G;11F40;11F42;EXTEND
G;11F5A;11F5A;EXTEND
G;13430;1343F;CONTROL
G;13440;13440;EXTEND
G;13447;13455;EXTEND
G;1611E;16129;EXTEND
G;1612A;1612C;PACINGMARK
G;1612D;1612F;EXTEND
G;16AF0;16AF4;EXTEND
G;16B30;16B36;EXTEND
G;16D63;16D63;V
G;16D67;16D6A;V
G;16F4F;16F4F;EXTEND
G;16F51;16F87;PACINGMARK
G;16F8F;16F92;EXTEND
G;16FE4;16FE4;EXTEND
G;16FF0;16FF1;EXTEND
G;1BC9D;1BC9E;EXTEND
G;1BCA0;1BCA3;CONTROL
G;1CF00;1CF2D;EXTEND
G;1CF30;1CF46;EXTEND
G;1D165;1D169;EXTEND
G;1D16D;1D172;EXTEND
G;1D173;1D17A;CONTROL
G;1D17B;1D182;EXTEND
G;1D185;1D18B;EXTEND
G;1D1AA;1D1AD;EXTEND
G;1D242;1D244;EXTEND
G;1DA00;1DA36;EXTEND
G;1DA3B;1DA6C;EXTEND
G;1DA75;1DA75;EXTEND
G;1DA84;1DA84;EXTEND
G;1DA9B;1DA9F;EXTEND
G;1DAA1;1DAAF;EXTEND
G;1E000;1E006;EXTEND
G;1E008;1E018;EXTEND
G;1E01B;1E021;EXTEND
G;1E023;1E024;EXTEND
G;1E026;1E02A;EXTEND
G;1E08F;1E08F;EXTEND
G;1E130;1E136;EXTEND
G;1E2AE;1E2AE;EXTEND
G;1E2EC;1E2EF;EXTEND
G;1E4EC;1E4EF;EXTEND
G;1E5EE;1E5EF;EXTEND
G;1E8D0;1E8D6;EXTEND
G;1E944;1E94A;EXTEND
G;1F1E6;1F1FF;REGIONAL_INDICATOR
G;1F3FB;1F3FF;EXTEND
G;E0000;E001F;CONTROL
G;E0020;E007F;EXTEND
G;E0080;E00FF;CONTROL
G;E0100;E01EF;EXTEND
G;E01F0;E0FFF;CONTROL
E;00A9;00A9
E;00AE;00AE
E;203C;203C
E;2049;2049
E;2122;2122
E;2139;2139
E;2194;2199
E;21A9;21AA
E;231A;231B
E;2328;2328
E;2388;2388
E;23CF;23CF
E;23E9;23F3
E;23F8;23FA
E;24C2;24C2
E;25AA;25AB
E;25B6;25B6
E;25C0;25C0
E;25FB;25FE
E;2600;2605
E;2607;2612
E;2614;2685
E;2690;2705
E;2708;2712
E;2714;2714
E;2716;2716
E;271D;271D
E;2721;2721
E;2728;2728
E;2733;2734
E;2744;2744
E;2747;2747
E;274C;274C
E;274E;274E
E;2753;2755
E;2757;2757
E;2763;2767
E;2795;2797
E;27A1;27A1
E;27B0;27B0
E;27BF;27BF
E;2934;2935
E;2B05;2B07
E;2B1B;2B1C
E;2B50;2B50
E;2B55;2B55
E;3030;3030
E;303D;303D
E;3297;3297
E;3299;3299
E;1F000;1F0FF
E;1F10D;1F10F
E;1F12F;1F12F
E;1F16C;1F171
E;1F17E;1F17F
E;1F18E;1F18E
E;1F191;1F19A
E;1F1AD;1F1E5
E;1F201;1F20F
E;1F21A;1F21A
E;1F22F;1F22F
E;1F232;1F23A
E;1F23C;1F23F
E;1F249;1F3FA
E;1F400;1F53D
E;1F546;1F64F
E;1F680;1F6FF
E;1F774;1F77F
E;1F7D5;1F7FF
E;1F80C;1F80F
E;1F848;1F84F
E;1F85A;1F85F
E;1F888;1F88F
E;1F8AE;1F8FF
E;1F90C;1F93A
E;1F93C;1F945
E;1F947;1FAFF
E;1FC00;1FFFD
