# Generated by gen_gcbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# G;<lo>;<hi>;<class>   Grapheme_Cluster_Break (non-Other only)
# E;<lo>;<hi>           Extended_Pictographic
G;1712;1715;EXTEND
G;1732;1734;EXTEND
G;1752;1753;EXTEND
G;1772;1773;EXTEND
G;17B4;17B5;EXTEND
G;17B6;17B6;PACINGMARK
G;17B7;17BD;EXTEND
G;17BE;17C5;PACINGMARK
G;17C6;17C6;EXTEND
G;17C7;17C8;PACINGMARK
G;17C9;17D3;EXTEND
G;17DD;17DD;EXTEND
G;180B;180D;EXTEND
G;180E;180E;CONTROL
G;180F;180F;EXTEND
G;1885;1886;EXTEND
G;18A9;18A9;EXTEND
G;1920;1922;EXTEND
G;1923;1926;PACINGMARK
G;1927;1928;EXTEND
G;1929;192B;PACINGMARK
G;1930;1931;PACINGMARK
G;1932;1932;EXTEND
G;1933;1938;PACINGMARK
G;1939;193B;EXTEND
G;1A17;1A18;EXTEND
G;1A19;1A1A;PACINGMARK
G;1A1B;1A1B;EXTEND
G;1A55;1A55;PACINGMARK
G;1A56;1A56;EXTEND
G;1A57;1A57;PACINGMARK
G;1A58;1A5E;EXTEND
G;1A60;1A60;EXTEND
G;1A62;1A62;EXTEND
G;1A65;1A6C;EXTEND
G;1A6D;1A72;PACINGMARK
G;1A73;1A7C;EXTEND
G;1A7F;1A7F;EXTEND
G;1AB0;1ACE;EXTEND
G;1B00;1B03;EXTEND
G;1B04;1B04;PACINGMARK
G;1B34;1B3D;EXTEND
G;1B3E;1B41;PACINGMARK
G;1B42;1B44;EXTEND
G;1B6B;1B73;EXTEND
G;1B80;1B81;EXTEND
G;1B82;1B82;PACINGMARK
G;1BA1;1BA1;PACINGMARK
G;1BA2;1BA5;EXTEND
G;1BA6;1BA7;PACINGMARK
G;1BA8;1BAD;EXTEND
G;1BE6;1BE6;EXTEND
G;1BE7;1BE7;PACINGMARK
G;1BE8;1BE9;EXTEND
G;1BEA;1BEC;PACINGMARK
G;1BED;1BED;EXTEND
G;1BEE;1BEE;PACINGMARK
G;1BEF;1BF3;EXTEND
G;1C24;1C2B;PACINGMARK
G;1C2C;1C33;EXTEND
G;1C34;1C35;PACINGMARK
G;1C36;1C37;EXTEND
G;1CD0;1CD2;EXTEND
G;1CD4;1CE0;EXTEND
G;1CE1;1CE1;PACINGMARK
G;1CE2;1CE8;EXTEND
G;1CED;1CED;EXTEND
G;1CF4;1CF4;EXTEND
G;1CF7;1CF7;PACINGMARK
G;1CF8;1CF9;EXTEND
G;1DC0;1DFF;EXTEND
G;200B;200B;CONTROL
G;200C;200C;EXTEND
G;200D;200D;ZWJ
G;200E;200F;CONTROL
G;2028;202E;CONTROL
G;2060;206F;CONTROL
G;20D0;20F0;EXTEND
G;2CEF;2CF1;EXTEND
G;2D7F;2D7F;EXTEND
